Symbol,ISIN
AAL,US02376R1023
AAPL,US0378331005
ADBE,US00724F1012
AMD,US0079031078
AMZN,US0231351067
BA,US0970231058
BABA,US01609W1027
CCL,PA1436583006
DAL,US2473617023
ENPH,US29355A1079
ERJ,US29082A1079
FTNT,US34959E1091
GE,US3696041033
GM,US37045V1008
GOL,US38045R2067
GOOGL,US02079K3059
GPRO,US38268T1034
HLT,US43300A2033
INTC,US4581401001
JBLU,US4771431016
LTM,US51817R1068
LTMAQ,US51817R1068
MRNA,US60770K1079
MSFT,US5949181045
NET,US18915M1071
NFLX,US64110L1061
NIO,US62914V1061
NKE,US6541061031
NKLA,US6541101050
NVDA,US67066G1040
PFE,US7170811035
PLUG,US72919P2020
QCOM,US7475251036
SEDG,US83417M1045
SHOP,CA82509L1076
SNAP,US83304A1060
SNOW,US8334451098
SQ,US8522341036
TEAM,GB00BZ09BD16
TSLA,US88160R1014
TTM,US8765685024
UBER,US90353T1007
VTRS,US92556V1061
WORK,US83088V1026
ZM,US98980L1017
